"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINECODE","INSPDATE","ACTION","VIOLCODE","SCORE","CURRENTGRADE","GRADEDATE","RECORDDATE"
"40364863","SERENDIPITY 3","1","225","EAST   60 STREET","10022","2128383531","03","2013-01-16 00:00:00","D","06D","10","A","2013-01-16 00:00:00","2013-12-26 06:01:07.740000000"
"40364956","THE NEW STARLING ATHLETIC CLUB OF THE BRONX","2","2222","HAVILAND AVENUE","10462","7188229004","03","2013-03-14 00:00:00","D","02B","12","A","2013-03-14 00:00:00","2013-12-26 06:01:07.740000000"
"40364958","WHITE HORSE TAVERN","1","567","HUDSON STREET","10014","2129893956","03","2013-07-25 00:00:00","D","02G","7","A","2013-07-25 00:00:00","2013-12-26 06:01:07.740000000"
"40364139","MITCHEL LONDON FOODS","1","22A       ","EAST   65 STREET                                  ","10065","2127372850","03","2013-08-22 00:00:00","D","02G","9","A","2013-08-22 00:00:00","2013-12-26 06:01:07.740000000"
"40364286","PLAZA BAGELS & DELI","5","73","NEW DORP PLAZA","10306","7183513906","27","2013-11-07 00:00:00","D","06C","12","A","2013-11-07 00:00:00","2013-12-26 06:01:07.740000000"
"40363565","HOT BAGELS","4","79-05","METROPOLITAN AVENUE","11379","7183268510","07","2013-08-07 00:00:00","D","02G","10","A","2013-08-07 00:00:00","2013-12-26 06:01:07.740000000"
"40363644","DOMINO'S PIZZA","1","464","3 AVENUE","10016","2125450200","62","2013-07-09 00:00:00","D","08A","12","A","2013-07-09 00:00:00","2013-12-26 06:01:07.740000000"
"40363685","BERKELY","1","437","MADISON AVENUE","10022","2128328121","03","2013-06-07 00:00:00","D","10F","5","A","2013-06-07 00:00:00","2013-12-26 06:01:07.740000000"
"40363804","WINTER CATERERS","5","584","RICHMOND ROAD","10304","7184427203","03","2013-07-10 00:00:00","D","10B","13","A","2013-07-10 00:00:00","2013-12-26 06:01:07.740000000"
"40365454","JOE & PAT'S PIZZERIA","5","1758","VICTORY BOULEVARD","10314","7189810887","63","2013-04-25 00:00:00","D","08B","10","A","2013-04-25 00:00:00","2013-12-26 06:01:07.740000000"
"40365499","YANKEE TAVERN","2","72","EAST  161 STREET","10451","7182926130","03","2013-11-14 00:00:00","D","10B","4","A","2013-11-14 00:00:00","2013-12-26 06:01:07.740000000"
"40364576","TOUT VA BIEN","1","311","WEST   51 STREET","10019","2122650190","35","2013-07-17 00:00:00","F","02H","36","C","2013-07-17 00:00:00","2013-12-26 06:01:07.740000000"
"40364610","GREAT KILLS YACHT CLUB","5","37","MANSION AVE","10308","7189489615","03","2013-09-25 00:00:00","D","10F","4","A","2013-09-25 00:00:00","2013-12-26 06:01:07.740000000"
"40364668","MARCHIS RESTAURANT","1","251       ","EAST   31 STREET                                  ","10016","2126792494","48","2013-06-19 00:00:00","F","06D","32","C","2013-06-19 00:00:00","2013-12-26 06:01:07.740000000"
"40363744","SONNY'S HEROS","3","1031","EAST   92 STREET","11236","7184859810","03","2013-01-29 00:00:00","D","10B","3","A","2013-01-29 00:00:00","2013-12-26 06:01:07.740000000"
"40363914","ROTHSCHILD CAFETERIA","1","1251","6 AVENUE","10020","2124033500","03","2013-04-26 00:00:00","D","02G","12","A","2013-04-26 00:00:00","2013-12-26 06:01:07.740000000"
"40363920","GOLDEN PAVILLION","3","976","RUTLAND ROAD","11212","7187357707","20","2013-03-26 00:00:00","D","10F","10","A","2013-03-26 00:00:00","2013-12-26 06:01:07.740000000"
"40364220","KOSHER BAGEL HOLE","3","1423","AVENUE J","11230","7182584150","50","2013-12-05 00:00:00","D","02G","11","A","2013-12-05 00:00:00","2013-12-26 06:01:07.740000000"
"40365043","SHELL LANES","3","1","BOUCK COURT","11223","7183366700","03","2013-10-23 00:00:00","F","06A","28","C","2013-10-23 00:00:00","2013-12-26 06:01:07.740000000"
"40365098","FORLINIS RESTAURANT","1","93","BAXTER STREET","10013","2123496779","48","2013-12-06 00:00:00","D","04C","10","A","2013-12-06 00:00:00","2013-12-26 06:01:07.740000000"
"40364305","PHILADELHIA GRILLE EXPRESS","3","10004","4 AVENUE","11209","7182380747","48","2013-06-27 00:00:00","U","02B","7","A","2013-06-27 00:00:00","2013-12-26 06:01:07.740000000"
"40364347","METROPOLITAN CLUB","1","1","EAST   60 STREET","10022","2128387400","03","2013-04-02 00:00:00","D","04M","13","A","2013-04-02 00:00:00","2013-12-26 06:01:07.740000000"
"40364389","OLD TOWN BAR & RESTAURANT","1","45","EAST   18 STREET","10003","2125296732","03","2013-10-10 00:00:00","D","06D","9","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364404","POLISH NATIONAL HOME","3","261","DRIGGS AVENUE","11222","7183875252","64","2013-05-10 00:00:00","D","10F","3","A","2013-05-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364439","SEVILLE RESTAURANT","1","62","CHARLES STREET","10014","2129293189","53","2013-05-20 00:00:00","D","10J","11","A","2013-05-20 00:00:00","2013-12-26 06:01:07.740000000"
"40364443","CRIMINAL COURT BLDG CAFETERIA","1","100","CENTRE STREET","10013","2129621037","03","2013-03-08 00:00:00","D","02G","12","A","2013-03-08 00:00:00","2013-12-26 06:01:07.740000000"
"40364510","DANISH ATHLETIC CLUB","3","735","65 STREET","11220","7187487844","03","2013-04-03 00:00:00","F","10B","50","C","2013-04-03 00:00:00","2013-12-26 06:01:07.740000000"
"40364149","AUNTIE ANNE'S PRETZELS TRACK 18","1","0         ","34 STREET                                         ","10001","2122396882","07","2013-09-16 00:00:00","D","06D","7","A","2013-09-16 00:00:00","2013-12-26 06:01:07.740000000"
"40364220","KOSHER BAGEL HOLE","3","1423","AVENUE J","11230","7182584150","50","2013-12-05 00:00:00","D","09A","11","A","2013-12-05 00:00:00","2013-12-26 06:01:07.740000000"
"40364220","KOSHER BAGEL HOLE","3","1423","AVENUE J","11230","7182584150","50","2013-12-05 00:00:00","D","10J","11","A","2013-12-05 00:00:00","2013-12-26 06:01:07.740000000"
"40365526","MORAN'S CHELSEA","1","146","10 AVENUE","10011","2126273030","23","2013-09-10 00:00:00","D","10A","12","A","2013-09-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364691","DINING ROOM","1","1-A","EAST 77 STREET","10075","2127341468","23","2013-10-10 00:00:00","D","10B","13","A","2013-10-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364715","OLD HOMESTEAD","1","56","9 AVENUE","10011","2122429040","03","2013-06-10 00:00:00","D","10D","12","A","2013-06-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364889","MELODY LANES","3","461","37 STREET","11232","7188322695","03","2013-12-04 00:00:00","D","10F","13","A","2013-12-04 00:00:00","2013-12-26 06:01:07.740000000"
"40364956","THE NEW STARLING ATHLETIC CLUB OF THE BRONX","2","2222","HAVILAND AVENUE","10462","7188229004","03","2013-03-14 00:00:00","D","06D","12","A","2013-03-14 00:00:00","2013-12-26 06:01:07.740000000"
"40365075","MCSORLEY'S OLD ALE HOUSE","1","15","EAST    7 STREET","10003","2122542570","47","2013-06-12 00:00:00","D","10B","8","A","2013-06-12 00:00:00","2013-12-26 06:01:07.740000000"
"40364373","ISLE OF CAPRI RESTURANT","1","1028      ","3 AVENUE                                          ","10065","2127581902","48","2013-05-03 00:00:00","D","10B","10","A","2013-05-03 00:00:00","2013-12-26 06:01:07.740000000"
"40365361","Princeton Club","1","15","WEST   43 STREET","10036","2125961272","03","2013-07-19 00:00:00","F","02B","29","C","2013-07-19 00:00:00","2013-12-26 06:01:07.740000000"
"40365361","Princeton Club","1","15","WEST   43 STREET","10036","2125961272","03","2013-07-19 00:00:00","F","06A","29","C","2013-07-19 00:00:00","2013-12-26 06:01:07.740000000"
"40365387","ARTURO'S","1","106","WEST HOUSTON STREET","10012","2126773820","48","2013-10-08 00:00:00","D","02G","12","A","2013-10-08 00:00:00","2013-12-26 06:01:07.740000000"
"40365387","ARTURO'S","1","106","WEST HOUSTON STREET","10012","2126773820","48","2013-10-08 00:00:00","D","09B","12","A","2013-10-08 00:00:00","2013-12-26 06:01:07.740000000"
"40365414","LE PERIGORD","1","405","EAST 52 STREET","10022","2127556244","35","2013-12-02 00:00:00","U","04L","23","Z","2013-12-02 00:00:00","2013-12-26 06:01:07.740000000"
"40365423","REYNOLD'S BAR","1","4241","BROADWAY","10033","2129238927","03","2013-08-19 00:00:00","U","04A","23","B","2013-08-19 00:00:00","2013-12-26 06:01:07.740000000"
"40365472","SPAIN","1","113       ","WEST   13 STREET                                  ","10011","2129299580","77","2013-01-14 00:00:00","D","10B","9","A","2013-01-14 00:00:00","2013-12-26 06:01:07.740000000"
"40365632","J&V FAMOUS PIZZA","3","6322","18 AVENUE","11204","7182322700","62","2013-10-29 00:00:00","D","04L","11","A","2013-10-29 00:00:00","2013-12-26 06:01:07.740000000"
"40365692","JOYCE'S TAVERN","5","3823","RICHMOND AVENUE","10312","7189849699","03","2013-04-01 00:00:00","D","06C","12","A","2013-04-01 00:00:00","2013-12-26 06:01:07.740000000"
"40364262","TERMINAL CAFE/YANKEE CLIPPER","4","LA","GUARDIA AIRPORT PARKING","11371","9172998133","03","2013-05-10 00:00:00","D","06C","10","A","2013-05-10 00:00:00","2013-12-26 06:01:07.740000000"
"40364299","B & M HOT BAGEL & GROCERY","5","203","GIFFORDS LANE","10308","7189668445","27","2013-01-24 00:00:00","D","08A","13","A","2013-01-24 00:00:00","2013-12-26 06:01:07.740000000"
"40560387","PUFF 'N' STUFF, PLANET SMOOTHIE","0","1         ","PENN PLAZA                                        ","10119","2125947817","42","2013-10-25 00:00:00","D","10B","5","A","2013-10-25 00:00:00","2013-12-26 06:01:07.740000000"
"40560440","STARBUCKS COFFEE","1","684","6 AVENUE","10010","2126911948","14","2013-09-20 00:00:00","D","04N","11","A","2013-09-20 00:00:00","2013-12-26 06:01:07.740000000"
"40570254","CRYSTAL MANOR","3","1460","FLATBUSH AVENUE","11210","7188592141","03","2012-12-21 00:00:00","U","02B","27","B","2012-12-21 00:00:00","2013-12-26 06:01:07.740000000"
"40570254","CRYSTAL MANOR","3","1460","FLATBUSH AVENUE","11210","7188592141","03","2012-12-21 00:00:00","U","10B","27","B","2012-12-21 00:00:00","2013-12-26 06:01:07.740000000"
